,PREDICT-RESULT,PREDICT-LABEL,PREDICT-TRUE,PREDICT-FALSE,REAL-LABEL
0,1.0,true,1.0,0.0,true
1,0.999999951629,true,0.999999951629,4.83710589067e-08,true
2,0.999998813682,false,1.1863175438e-06,0.999998813682,false
3,0.999813248314,true,0.999813248314,0.000186751685743,true
4,0.999999834743,false,1.65256807415e-07,0.999999834743,false
5,0.998660922423,true,0.998660922423,0.00133907757716,false
6,1.0,true,1.0,0.0,true
7,0.999934150301,true,0.999934150301,6.5849699292e-05,true
8,0.999999951629,true,0.999999951629,4.83710589067e-08,true
9,1.0,true,1.0,0.0,true
10,0.999989621589,false,1.03784108362e-05,0.999989621589,false
11,0.999999581748,false,4.18252011403e-07,0.999999581748,false
12,1.0,true,1.0,0.0,true
13,0.997428658688,false,0.00257134131248,0.997428658688,false
14,0.818095740593,true,0.818095740593,0.181904259407,true
15,0.999999951629,true,0.999999951629,4.83710589067e-08,true
16,0.999950195,true,0.999950195,4.98049996888e-05,false
17,0.996042652743,false,0.00395734725675,0.996042652743,false
18,1.0,true,1.0,0.0,true
19,0.999999951629,true,0.999999951629,4.83710589067e-08,true
20,0.999999951629,true,0.999999951629,4.83710589067e-08,true
21,0.992320078246,false,0.00767992175351,0.992320078246,false
22,0.999836705697,true,0.999836705697,0.000163294303226,true
23,1.0,true,1.0,0.0,true
24,0.993387141188,true,0.993387141188,0.0066128588117,true
25,0.999812969156,false,0.000187030844225,0.999812969156,false
26,0.999999951629,true,0.999999951629,4.83710589067e-08,true
27,0.999999259268,false,7.40731731336e-07,0.999999259268,false
28,0.999999928824,false,7.11762389461e-08,0.999999928824,false
29,0.999999951629,true,0.999999951629,4.83710589067e-08,true
30,1.0,true,1.0,0.0,true
31,1.0,true,1.0,0.0,true
32,0.999999951629,true,0.999999951629,4.83710589067e-08,true
33,0.999999951629,true,0.999999951629,4.83710589067e-08,true
34,1.0,true,1.0,0.0,true
35,1.0,true,1.0,0.0,true
36,1.0,true,1.0,0.0,true
37,0.999993535143,true,0.999993535143,6.46485743584e-06,true
38,0.994811687229,false,0.00518831277062,0.994811687229,false
39,0.999991337364,true,0.999991337364,8.66263566937e-06,true
